"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0","5.0","15.0","https://www.3bmeteo.com/images/set_icone/8/51.png","#1461A1","mm"
"Lun 2","0","6.4","17.7","https://www.3bmeteo.com/images/set_icone/8/51.png","#1461A1","mm"
"Mar 3","0","11.2","17.9","https://www.3bmeteo.com/images/set_icone/8/2.png","#1461A1","mm"
"Mer 4","0","11.6","16.5","https://www.3bmeteo.com/images/set_icone/8/47.png","#1461A1","mm"
"Gio 5","0","11.0","19.1","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Ven 6","0","9.6","18.8","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Sab 7","0","6.7","16.6","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Dom 8","0","6.8","16.3","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Lun 9","0","3.4","16.5","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Mar 10","0","6.4","16.3","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Mer 11","0","5.0","15.3","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Gio 12","0","6.3","13.1","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Ven 13","0","3.0","13.1","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Sab 14","0","4.0","13.3","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Dom 15","0","2.4","13.2","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Lun 16","3","7.0","14.2","https://www.3bmeteo.com/images/set_icone/8/3.png","#1461A1","mm"
"Mar 17","0","5.5","14.1","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Mer 18","0","2.0","14.0","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Gio 19","0","4.3","13.7","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Ven 20","3","10.0","15.6","https://www.3bmeteo.com/images/set_icone/8/3.png","#1461A1","mm"
"Sab 21","0","1.0","9.4","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Dom 22","0","0.0","8.2","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Lun 23","0","0.0","8.7","https://www.3bmeteo.com/images/set_icone/8/52.png","#1461A1","mm"
"Mar 24","0","0.0","10.1","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Mer 25","0","-1.0","9.4","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Gio 26","0","0.5","9.2","https://www.3bmeteo.com/images/set_icone/8/50.png","#1461A1","mm"
"Ven 27","0","-2.0","9.8","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Sab 28","0","-1.0","8.7","https://www.3bmeteo.com/images/set_icone/8/1.png","#1461A1","mm"
"Dom 29","0","1.1","8.2","https://www.3bmeteo.com/images/set_icone/8/44.png","#1461A1","mm"
"Lun 30","0","-0.8","8.6","https://www.3bmeteo.com/images/set_icone/8/45.png","#1461A1","mm"
