;UserID;safety;totalAnnotatedDialogues;totalAnnotatedGraffiti;storyProgress;playerPos;rotation;level;crystals;battery;exp;maxexp;soap;rocket;glider;dialogueIndex;graffitiTutorial;dialogueTutorial;annotatedGraffitiIndeces;saveableObjects;friends;dialoguesFinished;graffitiFinished;likes;annData;GameTime;GraffitiTime;DialogueTime;NumberOfGraffitiActivated;NumberOfAnnotatedGraffiti;NumberOfDialoguesActivated;NumberOfAnnotatedSentences;Dialogue_avgt;Graffiti_avgt;Age;Gender;Education;General engagement
0;t116-user1;127.8505859375;4;7;0;{'x': 176.72500610351562, 'y': 1.3955535888671875, 'z': -12.655632019042969};{'x': 3.4458938813486384e-08, 'y': 0.549751877784729, 'z': -1.4901162970204496e-08, 'w': 0.8353280425071716};1;11;0;40.0;100.0;64.0;False;False;4;True;True;[10673, 10675, 10669, 10670, 10671, 10679, 10672, 10676, 10674];"                 name  state                        position  \
0  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";2.0;False;False;100.0;"       id  timePerToken      type
0   10673      2.043333  graffiti
1   10675      0.555714  graffiti
2   10669      0.455167  graffiti
3   10670      0.082500  graffiti
4   10670      1.285500  graffiti
5   10671      0.852400  graffiti
6   10671      0.032800  graffiti
7   10169      0.242889  dialogue
8   10170      1.240556  dialogue
9   10171      1.485500  dialogue
10  10679      1.430125  graffiti
11  10672      0.329875  graffiti
12  10172      1.855917  dialogue
13  10676      1.315667  graffiti
14  10674      0.054000  graffiti";1329.9200439453125;574.8250732421875;391.81103515625;12;12;14;4;1.206215254975;0.7670073631272728;13;0.0;0.0;4.0
1;t116-user10;92.02545928955078;23;2;0;{'x': 243.07998657226562, 'y': 0.8402430415153503, 'z': 12.728175163269043};{'x': -2.1084426649053967e-08, 'y': -5.960463766996327e-08, 'z': 2.108444441262236e-08, 'w': 1.0};1;32;7;0.0;100.0;100.0;False;False;23;True;True;[10778, 10776];"                 name  state                        position  \
0  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";3.0;False;False;150.0;"       id  timePerToken      type
0   10547      0.347800  dialogue
1   10548      0.760000  dialogue
2   10549      0.129714  dialogue
3   10550      0.259000  dialogue
4   10551      0.319833  dialogue
5   10552      0.401400  dialogue
6   10553      0.598000  dialogue
7   10778      0.380625  graffiti
8   10778      0.862375  graffiti
9   10554      0.137500  dialogue
10  10555      1.048667  dialogue
11  10556      0.364000  dialogue
12  10557      0.461200  dialogue
13  10557           NaN  dialogue
14  10558      2.405833  dialogue
15  10559      1.732667  dialogue
16  10560      0.258111  dialogue
17  10561      1.301200  dialogue
18  10562      0.962333  dialogue
19  10563      0.368111  dialogue
20  10563           NaN  dialogue
21  10564      0.889000  dialogue
22  10564           NaN  dialogue
23  10776           NaN  dialogue
24  10776      1.015222  graffiti
25  10776      1.015444  graffiti";1535.568115234375;357.6061096191406;251.7050018310547;9;4;46;23;0.7080205505222223;0.81841665505;13;0.0;0.0;4.0
2;t116-user11;417.9989929199219;0;3;0;{'x': 176.08714294433594, 'y': 0.8944791555404663, 'z': -50.60065460205078};{'x': 0.0, 'y': -0.7071068286895752, 'z': 0.0, 'w': 0.7071068286895752};1;26;7;40.0;100.0;60.0;False;False;0;True;True;[10795, 10791];;0.0;False;False;0.0;"      id  timePerToken      type
0  10795        2.7075  graffiti
1  10791        3.7460  graffiti";1330.801025390625;3457.448486328125;0.0;17;3;16;0;0.0;0.0;13;0.0;0.0;3.0
3;t116-user13;370.72955322265625;23;0;0;{'x': -43.7197265625, 'y': 0.7228803634643555, 'z': -52.632965087890625};{'x': 0.0, 'y': -0.7071068286895752, 'z': 0.0, 'w': 0.7071068286895752};1;80;4;0.0;100.0;96.0;False;False;23;True;True;[];;4.0;False;False;200.0;"       id  timePerToken      type
0   10169           NaN  dialogue
1   10169           NaN  dialogue
2   10170      0.152889  dialogue
3   10171      2.657500  dialogue
4   10171           NaN  dialogue
5   10171           NaN  dialogue
6   10171           NaN  dialogue
7   10172      0.986250  dialogue
8   10172           NaN  dialogue
9   10172           NaN  dialogue
10  10172           NaN  dialogue
11  10173      1.773667  dialogue
12  10173           NaN  dialogue
13  10173           NaN  dialogue
14  10173           NaN  dialogue
15  10173           NaN  dialogue
16  10669      8.151000  dialogue
17  10669     49.352501  dialogue
18  10669           NaN  dialogue
19  10669           NaN  dialogue
20  10669           NaN  dialogue
21  10669           NaN  dialogue";1055.867919921875;12.147000312805176;618.0681762695312;4;0;73;23;10.512301097316668;0.0;13;0.0;0.0;2.0
4;t116-user14;429.2539978027344;8;0;0;{'x': -6.5291242599487305, 'y': 0.7445539236068726, 'z': 16.506990432739258};{'x': 0.0, 'y': 0.7070117592811584, 'z': 0.0, 'w': 0.7072018384933472};1;34;0;0.0;100.0;75.0;False;False;8;True;True;[];"                 name  state                        position  \
0  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   
1  ChestNoKey (25)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  
1  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";2.0;False;False;100.0;"      id  timePerToken      type
0  10211           NaN  dialogue
1  10212      2.212333  dialogue
2  10212           NaN  dialogue
3  10213      0.861000  dialogue
4  10213           NaN  dialogue
5  10214      0.542172  dialogue
6  10214           NaN  dialogue";633.5369873046875;65.77201080322266;359.4730529785156;1;0;15;8;1.2051686048333334;0.0;13;0.0;0.0;3.0
5;t116-user15;84.02657318115234;5;5;0;{'x': 101.53378295898438, 'y': 0.8954787254333496, 'z': -72.03618621826172};{'x': 0.0, 'y': -0.41953617334365845, 'z': 0.0, 'w': 0.9077386260032654};1;0;7;0.0;100.0;29.0;False;False;5;True;True;[10701, 10702, 10698, 10693, 10696, 10699];;0.0;False;False;0.0;"       id  timePerToken      type
0   10701      0.422875  graffiti
1   10701      0.278000  graffiti
2   10702      3.844000  graffiti
3   10702      1.147750  graffiti
4   10702      0.870000  graffiti
5   10702      0.615750  graffiti
6   10701      0.340750  graffiti
7   10701      0.447875  graffiti
8   10701      0.530750  graffiti
9   10702      0.540250  graffiti
10  10698      0.517200  graffiti
11  10698      0.486000  graffiti
12  10253      0.592333  dialogue
13  10254      1.003429  dialogue
14  10255      0.639500  dialogue
15  10256      1.702000  dialogue
16  10257      0.978750  dialogue
17  10693      0.474667  graffiti
18  10696      1.113750  graffiti
19  10699      0.211800  graffiti";819.1819458007812;562.2877807617188;209.6569976806641;16;16;27;5;0.9832023859;0.7894277850666668;13;2.0;0.0;4.0
6;t116-user16;418.7529602050781;18;0;0;{'x': 186.90306091308594, 'y': 1.6712007522583008, 'z': 168.10890197753906};{'x': 5.46123146705213e-07, 'y': 0.7796035408973694, 'z': 4.6902150074856763e-07, 'w': 0.6262734532356262};1;42;2;32.0;100.0;100.0;False;False;18;True;True;[];;2.0;False;False;132.0;"       id  timePerToken      type
0   10296      0.303889  dialogue
1   10297      0.417000  dialogue
2   10298      1.197667  dialogue
3   10299      1.325000  dialogue
4   10300      1.257143  dialogue
5   10301      1.703000  dialogue
6   10302      0.537500  dialogue
7   10303      0.535750  dialogue
8   10304           NaN  dialogue
9   10304      1.225111  dialogue
10  10304           NaN  dialogue
11  10305      1.902800  dialogue
12  10305           NaN  dialogue
13  10306      0.232125  dialogue
14  10306           NaN  dialogue
15  10307      1.012600  dialogue
16  10307           NaN  dialogue";1499.6279296875;7.172999858856201;374.1170043945313;1;0;24;18;0.9707987097583333;0.0;13;0.0;0.0;4.0
7;t116-user17;172.0813446044922;8;2;0;{'x': 100.12577056884766, 'y': 0.8954771757125854, 'z': -70.41122436523438};{'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 1.0};1;24;0;0.0;100.0;12.0;False;False;8;True;True;[10724, 10723];"                 name  state                        position  \
0  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";2.0;False;False;100.0;"       id  timePerToken      type
0   10338      4.456666  dialogue
1   10339      0.388800  dialogue
2   10340      0.844667  dialogue
3   10341      1.975333  dialogue
4   10724      0.321889  graffiti
5   10724      0.749556  graffiti
6   10724      0.485778  graffiti
7   10342      0.530800  dialogue
8   10343      0.513750  dialogue
9   10344      3.072333  dialogue
10  10723      1.415143  graffiti";761.1630249023438;407.6431884765625;383.833984375;5;4;8;8;1.6831928278714285;0.7430912777750001;13;0.0;0.0;3.0
8;t116-user19;540.8908081054688;21;3;0;{'x': 77.12109375, 'y': 0.748794436454773, 'z': 12.802223205566406};{'x': 0.0, 'y': 0.0006866456824354827, 'z': 0.0, 'w': 0.9999997615814209};1;20;3;40.0;100.0;10.0;False;False;21;True;True;[10742, 10741, 10746];"                 name  state                        position  \
0  ChestNoKey (26)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   
1  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   
2  ChestNoKey (13)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  
1  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  
2  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";3.0;False;False;150.0;"       id  timePerToken      type
0   10422      0.793000  dialogue
1   10423      0.407000  dialogue
2   10424      0.312714  dialogue
3   10742      0.512500  graffiti
4   10741      0.423556  graffiti
5   10425      0.662333  dialogue
6   10426      0.270500  dialogue
7   10427      0.663200  dialogue
8   10428      1.475000  dialogue
9   10429      1.200833  dialogue
10  10430      3.454333  dialogue
11  10430           NaN  dialogue
12  10430           NaN  dialogue
13  10431      2.340000  dialogue
14  10431           NaN  dialogue
15  10431           NaN  dialogue
16  10432      1.961333  dialogue
17  10432           NaN  dialogue
18  10746      1.003500  graffiti
19  10433      1.779000  dialogue
20  10434      1.099667  dialogue
21  10435      3.572000  dialogue
22  10436      1.034333  dialogue";1909.169921875;355.91778564453125;526.8123168945312;4;3;40;21;1.4016831636466667;0.6465185085999999;13;0.0;0.0;4.0
9;t116-user2;944.4982299804688;44;3;0;{'x': 324.29840087890625, 'y': 11.719265937805176, 'z': -57.25333786010742};{'x': -4.470348358154297e-08, 'y': 0.9238795042037964, 'z': 0.3826834559440613, 'w': 2.9802322387695312e-08};1;0;7;0.0;100.0;50.0;False;False;44;True;True;[10681, 10685, 10686];"                 name  state                        position  \
0  ChestNoKey (23)Lid  empty  {'x': 0.0, 'y': 0.0, 'z': 0.0}   

                                   rotation  active  
0  {'x': 0.0, 'y': 0.0, 'z': 0.0, 'w': 0.0}    True  ";2.0;False;False;100.0;"       id  timePerToken      type
0   10681      0.221500  graffiti
1   10681      0.487833  graffiti
2   10685      0.538750  graffiti
3   10686      1.351500  graffiti
4   10212      0.765333  dialogue
5   10213      0.136636  dialogue
6   10214      0.047000  dialogue
7   10214           NaN  dialogue
8   10215      0.056000  dialogue
9   10216      0.035935  dialogue
10  10217      0.191750  dialogue
11  10218      0.079389  dialogue
12  10219      0.098400  dialogue
13  10220      0.403750  dialogue
14  10221      0.070143  dialogue
15  10222      0.173500  dialogue
16  10223      0.209667  dialogue
17  10224      0.252600  dialogue
18  10225      0.099200  dialogue
19  10226      0.243200  dialogue
20  10227      0.089000  dialogue
21  10228      0.224600  dialogue
22  10229      0.218100  dialogue
23  10230      0.087571  dialogue
24  10231      0.083308  dialogue
25  10232      0.178143  dialogue
26  10233      0.169571  dialogue
27  10234      0.186833  dialogue
28  10235      1.056000  dialogue
29  10236      0.037250  dialogue
30  10236           NaN  dialogue
31  10237      2.190500  dialogue
32  10238      2.108500  dialogue
33  10239      0.392833  dialogue
34  10240      1.480833  dialogue
35  10241      1.890000  dialogue
36  10242      1.230600  dialogue
37  10243      0.479000  dialogue
38  10244      0.821667  dialogue
39  10245      1.178000  dialogue
40  10246      0.218562  dialogue
41  10247      0.246714  dialogue
42  10248      0.655600  dialogue
43  10249      0.539500  dialogue
44  10250      1.617750  dialogue
45  10251      0.674750  dialogue
46  10252      1.740333  dialogue";1191.9339599609375;236.2610321044922;609.4729614257812;5;4;24;44;0.5526347342;0.6498958430999999;13;0.0;0.0;2.0
