,level,exp,rocket,glider,friends,likes,GameTime,NumberOfAnnotatedGraffiti,totalAnnotatedGraffiti,Graffiti_avgt,NumberOfDialoguesActivated,totalAnnotatedDialogues,Dialogue_avgt,Age,Gender,Education,General engagement
0,1,40.0,False,False,2.0,100.0,1329.9200439453125,12,7,0.7670073631272728,14,4,1.206215254975,13,0.0,0.0,4.0
1,1,0.0,False,False,3.0,150.0,1535.568115234375,4,2,0.81841665505,46,23,0.7080205505222223,13,0.0,0.0,4.0
2,1,40.0,False,False,0.0,0.0,1330.801025390625,3,3,0.0,16,0,0.0,13,0.0,0.0,3.0
3,1,0.0,False,False,4.0,200.0,1055.867919921875,0,0,0.0,73,23,10.512301097316668,13,0.0,0.0,2.0
4,1,0.0,False,False,2.0,100.0,633.5369873046875,0,0,0.0,15,8,1.2051686048333334,13,0.0,0.0,3.0
5,1,0.0,False,False,0.0,0.0,819.1819458007812,16,5,0.7894277850666668,27,5,0.9832023859,13,2.0,0.0,4.0
6,1,32.0,False,False,2.0,132.0,1499.6279296875,0,0,0.0,24,18,0.9707987097583332,13,0.0,0.0,4.0
7,1,0.0,False,False,2.0,100.0,761.1630249023438,4,2,0.7430912777750001,8,8,1.6831928278714283,13,0.0,0.0,3.0
8,1,40.0,False,False,3.0,150.0,1909.169921875,3,3,0.6465185085999999,40,21,1.401683163646667,13,0.0,0.0,4.0
9,1,0.0,False,False,2.0,100.0,1191.9339599609375,4,3,0.6498958430999999,24,44,0.5526347342,13,0.0,0.0,2.0
10,1,80.0,False,False,3.0,230.0,2314.227783203125,14,8,0.5377326378461538,54,37,0.9998690091270268,13,2.0,0.0,2.0
11,1,48.0,False,False,4.0,232.0,2388.3642578125,25,14,0.6007529137041666,50,14,0.8029389853416667,13,2.0,0.0,2.0
12,1,0.0,False,False,0.0,0.0,303.781005859375,4,2,0.5885555595333333,8,0,0.0,13,2.0,0.0,2.0
13,1,0.0,False,False,0.0,0.0,1135.1240234375,0,0,0.0,19,11,1.6564928471999998,13,0.0,0.0,4.0
14,1,68.0,False,False,2.0,120.0,2198.146728515625,3,2,1.04305559395,36,22,2.457994198254545,13,0.0,0.0,4.0
15,1,0.0,False,False,3.0,150.0,781.9869995117188,1,1,0.0,6,6,2.4537291477000003,14,1.0,1.0,3.0
16,1,40.0,False,False,2.0,140.0,1021.6200561523438,6,6,0.57295554728,11,8,1.29400646685,13,0.0,0.0,4.0
17,1,0.0,False,False,3.0,150.0,1652.56005859375,10,4,1.0277438677111113,89,4,0.4109999761,13,2.0,0.0,4.0
18,1,8.0,False,False,2.0,100.0,818.7550048828125,4,4,0.257319439225,12,8,0.9498748140857142,13,2.0,0.0,4.0
19,1,24.0,False,False,0.0,0.0,859.2490234375,12,10,0.1567141762454545,16,0,0.0,12,0.0,0.0,4.0
20,1,0.0,False,False,0.0,0.0,1242.6290283203125,38,9,0.2669391575189189,26,0,0.0,13,2.0,0.0,2.0
21,1,0.0,False,False,0.0,0.0,1137.8699951171875,14,6,0.5663065990769232,12,3,1.5543015798333333,13,2.0,0.0,1.0
22,1,0.0,False,False,6.0,300.0,1357.8699951171875,9,8,0.6986565292,20,0,0.0,12,0.0,0.0,2.0
23,1,0.0,False,False,2.0,100.0,1254.0350341796875,8,6,0.6206173492428572,27,0,0.0,13,2.0,0.0,2.0
24,1,32.0,False,False,1.0,50.0,1526.0380859375,12,8,0.4079576367499999,86,39,0.8962910389130434,13,0.0,0.0,4.0
25,1,0.0,False,False,2.0,100.0,1328.8748779296875,8,4,0.9728021044375,19,4,1.1163890759,13,2.0,0.0,4.0
26,1,16.0,False,False,7.0,350.0,1135.5858154296875,19,14,0.4484243852444444,44,8,0.800884531825,13,0.0,0.0,2.0
27,1,0.0,False,False,0.0,0.0,1324.5,1,1,0.0,28,43,1.608933903278572,13,2.0,0.0,4.0
28,1,40.0,False,False,1.0,70.0,1342.630126953125,7,5,0.2698015868714286,54,29,0.9616105407545454,13,0.0,0.0,3.0
29,1,0.0,False,False,3.0,150.0,1427.06298828125,8,4,0.4998124931000001,14,7,1.1463769872833331,13,2.0,0.0,4.0
30,1,0.0,False,False,2.0,100.0,1032.176025390625,6,3,2.05194996594,14,4,1.1046972126,13,2.0,0.0,4.0
31,1,80.0,False,False,3.0,230.0,1629.801025390625,10,4,0.4375238087444445,24,8,0.9497479219,13,0.0,0.0,2.0
32,1,16.0,False,False,3.0,150.0,1303.490966796875,6,5,0.93441668154,16,0,0.0,13,2.0,0.0,4.0
